epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0582,0.79303,2.48594,1.39245,0.00183,1,0.97037,0.38815,1.84428,13.683,1.82793,0.000647059,0.000647059,0.000647059
2,64.4424,0.48811,1.37997,1.14311,0.17639,0.62319,0.19862,0.01986,3.83839,19.7312,4.22984,0.00130072,0.00130072,0.00130072
3,91.9147,0.52653,1.15226,1.12837,0.99329,1,0.995,0.597,1.35945,6.09193,1.87313,0.00194118,0.00194118,0.00194118
4,119.256,0.45653,0.99494,1.08812,0.99329,1,0.995,0.597,5.45684,nan,3.81505,0.0019406,0.0019406,0.0019406
5,144.879,0.41149,0.84051,1.0499,0.93437,1,0.98079,0.64959,1.36046,6.68365,1.2922,0.0019208,0.0019208,0.0019208
6,171.241,0.40226,0.78718,1.0307,0.99419,1,0.995,0.995,0.31937,3.71489,0.7122,0.001901,0.001901,0.001901
7,200.454,0.37459,0.68491,1.0141,0.98688,1,0.995,0.995,0.31252,1.35983,0.69126,0.0018812,0.0018812,0.0018812
8,225.887,0.36797,0.62149,1.02809,0.98223,1,0.995,0.12589,2.84457,4.50305,2.58155,0.0018614,0.0018614,0.0018614
9,250.181,0.352,0.60028,1.01613,0.99489,1,0.995,0.995,0.29461,1.65919,0.69434,0.0018416,0.0018416,0.0018416
10,278.064,0.31919,0.50532,0.99529,0.99769,1,0.995,0.995,0.28962,0.68219,0.71108,0.0018218,0.0018218,0.0018218
